Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,162","25,162","25,460",BIDV,2024-11-05
USD(1-2-5),Dollar,"24,156",-,-,BIDV,2024-11-05
USD(10-20),Dollar,"24,156",-,-,BIDV,2024-11-05
GBP,Bảng Anh,"32,428","32,503","33,306",BIDV,2024-11-05
HKD,Dollar Hồng Kông,"3,204","3,211","3,302",BIDV,2024-11-05
CHF,Franc Thụy Sỹ,"28,951","28,980","29,717",BIDV,2024-11-05
JPY,Yên Nhật,162.87,163.13,169.8,BIDV,2024-11-05
THB,Baht Thái Lan,692.57,727.03,776.24,BIDV,2024-11-05
AUD,Dollar Australia,"16,564","16,589","16,961",BIDV,2024-11-05
CAD,Dollar Canada,"18,068","18,093","18,503",BIDV,2024-11-05
SGD,Dollar Singapore,"18,800","18,878","19,496",BIDV,2024-11-05
SEK,Krone Thụy Điển,-,"2,323","2,399",BIDV,2024-11-05
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-11-05
DKK,Krone Đan Mạch,-,"3,634","3,752",BIDV,2024-11-05
NOK,Krone Na Uy,-,"2,265","2,339",BIDV,2024-11-05
CNY,Nhân Dân Tệ,-,"3,528","3,627",BIDV,2024-11-05
RUB,Rub Nga,-,-,-,BIDV,2024-11-05
NZD,Dollar New Zealand,"14,886","14,979","15,377",BIDV,2024-11-05
KRW,Won Hàn Quốc,16.12,17.81,19,BIDV,2024-11-05
EUR,Euro,"27,095","27,138","28,268",BIDV,2024-11-05
TWD,Dollar Đài Loan,715.51,-,863.86,BIDV,2024-11-05
MYR,Ringgit Malaysia,"5,432.09",-,"6,114.91",BIDV,2024-11-05
SAR,Saudi Arabian Riyals,-,"6,632.47","6,966.96",BIDV,2024-11-05
KWD,Kuwait Dinar,-,"80,488","85,430",BIDV,2024-11-05
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"89,000",BIDV,2024-11-05
