Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,170","25,170","25,467",BIDV,2024-12-06
USD(1-2-5),Dollar,"24,163",-,-,BIDV,2024-12-06
USD(10-20),Dollar,"24,163",-,-,BIDV,2024-12-06
GBP,Bảng Anh,"31,901","31,974","32,835",BIDV,2024-12-06
HKD,Dollar Hồng Kông,"3,203","3,209","3,300",BIDV,2024-12-06
CHF,Franc Thụy Sỹ,"28,458","28,487","29,324",BIDV,2024-12-06
JPY,Yên Nhật,164.45,164.72,172.35,BIDV,2024-12-06
THB,Baht Thái Lan,685.06,719.14,768.45,BIDV,2024-12-06
AUD,Dollar Australia,"16,062","16,086","16,551",BIDV,2024-12-06
CAD,Dollar Canada,"17,843","17,868","18,360",BIDV,2024-12-06
SGD,Dollar Singapore,"18,578","18,655","19,252",BIDV,2024-12-06
SEK,Krone Thụy Điển,-,"2,292","2,366",BIDV,2024-12-06
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-06
DKK,Krone Đan Mạch,-,"3,531","3,646",BIDV,2024-12-06
NOK,Krone Na Uy,-,"2,252","2,326",BIDV,2024-12-06
CNY,Nhân Dân Tệ,-,"3,454","3,551",BIDV,2024-12-06
RUB,Rub Nga,-,-,-,BIDV,2024-12-06
NZD,Dollar New Zealand,"14,560","14,651","15,047",BIDV,2024-12-06
KRW,Won Hàn Quốc,15.64,17.28,18.61,BIDV,2024-12-06
EUR,Euro,"26,353","26,395","27,559",BIDV,2024-12-06
TWD,Dollar Đài Loan,706.74,-,853.77,BIDV,2024-12-06
MYR,Ringgit Malaysia,"5,363.13",-,"6,036.93",BIDV,2024-12-06
SAR,Saudi Arabian Riyals,-,"6,631.75","6,968.13",BIDV,2024-12-06
KWD,Kuwait Dinar,-,"80,304","85,204",BIDV,2024-12-06
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,200",BIDV,2024-12-06
