Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"16,272.65","16,437.02","16,964.44",VCB,04/11/2024
CAD,CANADIAN DOLLAR     ,"17,723.79","17,902.82","18,477.27",VCB,04/11/2024
CHF,SWISS FRANC         ,"28,472.68","28,760.28","29,683.12",VCB,04/11/2024
CNY,YUAN RENMINBI       ,"3,462.43","3,497.40","3,609.63",VCB,04/11/2024
DKK,DANISH KRONE        ,-,"3,623.62","3,762.40",VCB,04/11/2024
EUR,EURO                ,"26,828.55","27,099.54","28,299.76",VCB,04/11/2024
GBP,POUND STERLING      ,"31,956.12","32,278.91","33,314.65",VCB,04/11/2024
HKD,HONGKONG DOLLAR     ,"3,171.53","3,203.56","3,306.35",VCB,04/11/2024
INR,INDIAN RUPEE        ,-,300.16,312.16,VCB,04/11/2024
JPY,YEN                 ,160.61,162.23,169.94,VCB,04/11/2024
KRW,KOREAN WON          ,15.96,17.74,19.24,VCB,04/11/2024
KWD,KUWAITI DINAR       ,-,"82,341.84","85,634.28",VCB,04/11/2024
MYR,MALAYSIAN RINGGIT   ,-,"5,727.62","5,852.58",VCB,04/11/2024
NOK,NORWEGIAN KRONER    ,-,"2,258.91","2,354.83",VCB,04/11/2024
RUB,RUSSIAN RUBLE       ,-,245.69,271.98,VCB,04/11/2024
SAR,SAUDI RIAL          ,-,"6,718.02","6,986.64",VCB,04/11/2024
SEK,SWEDISH KRONA       ,-,"2,320.35","2,418.88",VCB,04/11/2024
SGD,SINGAPORE DOLLAR    ,"18,689.71","18,878.50","19,484.26",VCB,04/11/2024
THB,THAILAND BAHT       ,661.23,734.70,762.84,VCB,04/11/2024
USD,US DOLLAR           ,"25,095.00","25,125.00","25,465.00",VCB,04/11/2024
