Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
USD,US DOLLAR,"25,160.00","25,190.00","25,512.00",VCB,13/11/2024
EUR,EURO,"26,070.92","26,334.26","27,500.42",VCB,13/11/2024
GBP,UK POUND STERLING,"31,340.05","31,656.61","32,672.19",VCB,13/11/2024
JPY,JAPANESE YEN,156.74,158.32,165.85,VCB,13/11/2024
AUD,AUSTRALIAN DOLLAR,"15,965.78","16,127.05","16,644.42",VCB,13/11/2024
SGD,SINGAPORE DOLLAR,"18,402.38","18,588.26","19,184.59",VCB,13/11/2024
THB,THAI BAHT,642.56,713.95,741.29,VCB,13/11/2024
CAD,CANADIAN DOLLAR,"17,607.85","17,785.71","18,356.29",VCB,13/11/2024
CHF,SWISS FRANC,"27,830.10","28,111.22","29,013.05",VCB,13/11/2024
HKD,HONG KONG DOLLAR,"3,180.68","3,212.80","3,315.87",VCB,13/11/2024
CNY,CHINESE YUAN,"3,425.24","3,459.84","3,570.83",VCB,13/11/2024
DKK,DANISH KRONE,-,"3,521.01","3,655.85",VCB,13/11/2024
INR,INDIAN RUPEE,-,299.93,311.92,VCB,13/11/2024
KRW,KOREAN WON,15.62,17.36,18.84,VCB,13/11/2024
KWD,KUWAITI DINAR,-,"82,452.28","85,748.60",VCB,13/11/2024
MYR,MALAYSIAN RINGGIT,-,"5,601.59","5,723.76",VCB,13/11/2024
NOK,NORWEGIAN KRONE,-,"2,233.34","2,328.16",VCB,13/11/2024
RUB,RUSSIAN RUBLE,-,242.93,268.92,VCB,13/11/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,748.19","6,996.23",VCB,13/11/2024
SEK,SWEDISH KRONA,-,"2,264.05","2,360.17",VCB,13/11/2024
