Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,142.00","25,172.00","25,475.00",04/12/2024
EUR,EURO,"25,981.82","26,244.27","27,406.44",04/12/2024
GBP,UK POUND STERLING,"31,342.52","31,659.11","32,674.77",04/12/2024
JPY,JAPANESE YEN,163.75,165.40,173.27,04/12/2024
AUD,AUSTRALIAN DOLLAR,"16,007.85","16,169.55","16,688.28",04/12/2024
SGD,SINGAPORE DOLLAR,"18,387.34","18,573.07","19,168.91",04/12/2024
THB,THAI BAHT,653.22,725.80,753.59,04/12/2024
CAD,CANADIAN DOLLAR,"17,591.58","17,769.28","18,339.33",04/12/2024
CHF,SWISS FRANC,"27,917.98","28,199.98","29,104.67",04/12/2024
HKD,HONG KONG DOLLAR,"3,180.31","3,212.43","3,315.49",04/12/2024
CNY,CHINESE YUAN,"3,397.69","3,432.01","3,542.11",04/12/2024
DKK,DANISH KRONE,-,"3,510.21","3,644.62",04/12/2024
INR,INDIAN RUPEE,-,299.07,311.02,04/12/2024
KRW,KOREAN WON,15.51,17.23,18.70,04/12/2024
KWD,KUWAITI DINAR,-,"82,532.88","85,832.42",04/12/2024
MYR,MALAYSIAN RINGGIT,-,"5,625.41","5,748.10",04/12/2024
NOK,NORWEGIAN KRONE,-,"2,249.52","2,345.02",04/12/2024
RUB,RUSSIAN RUBLE,-,230.21,254.85,04/12/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,743.70","6,991.57",04/12/2024
SEK,SWEDISH KRONA,-,"2,258.81","2,354.71",04/12/2024
